feature,family,cohort,n,train_mean,train_std,normalizer_std,std_floor_applied,mean,standardized_mean,max_abs_z,outside_train_range,abs_z_above3,abs_z_above5
hidden.layer_3.output_mean,hidden,selected,224,-0.00015114718708597746,2.287797415157223e-05,2.287797415157223e-05,False,-0.00012972632745394158,0.9363092855214095,2.8598540907655376,0,0,0
hidden.layer_3.output_mean,hidden,first_scored,219,-0.00015114718708597746,2.287797415157223e-05,2.287797415157223e-05,False,-0.0001298715893036184,0.9299598662627625,2.9106570481229923,0,0,0
hidden.layer_3.output_rms,hidden,dev,50,0.028419707790017127,0.0009264225567166697,0.0009264225567166697,False,0.028387309424579142,-0.0349714773275884,2.4871506604647786,0,0,0
hidden.layer_3.output_rms,hidden,train,75,0.028419707790017127,0.0009264225567166697,0.0009264225567166697,False,0.028419707790017127,1.0613732115416497e-15,2.560036136768463,0,0,0
hidden.layer_3.output_rms,hidden,all_scored_candidates,239,0.028419707790017127,0.0009264225567166697,0.0009264225567166697,False,0.027634568621548648,-0.8474957380691235,3.0182750942117855,19,2,0
hidden.layer_3.output_rms,hidden,selected,224,0.028419707790017127,0.0009264225567166697,0.0009264225567166697,False,0.02770413154004408,-0.7724080602151139,2.946525594684234,12,0,0
hidden.layer_3.output_rms,hidden,first_scored,219,0.028419707790017127,0.0009264225567166697,0.0009264225567166697,False,0.027713890719019113,-0.7618737970926525,3.0182750942117855,11,2,0
hidden.layer_30.input_mean,hidden,dev,50,0.011990353365739186,0.0012229832763282235,0.0012229832763282235,False,0.011877367086708546,-0.09238579236329399,1.9127608434533119,1,0,0
hidden.layer_30.input_mean,hidden,train,75,0.011990353365739186,0.0012229832763282235,0.0012229832763282235,False,0.011990353365739186,5.456052276642253e-16,2.6960024163879774,0,0,0
hidden.layer_30.input_mean,hidden,all_scored_candidates,239,0.011990353365739186,0.0012229832763282235,0.0012229832763282235,False,0.01151270886968868,-0.39055685003685653,2.8801714990054506,5,0,0
