job_id,arm,task_id,seed,budget,candidate_attempt,official_SUN
support-final-5eccea7f5a24da2f5b31b4ab,uq_only_support_aware,Co-Dy-W,2,10,2,0
support-final-5eccea7f5a24da2f5b31b4ab,uq_only_support_aware,Co-Dy-W,2,10,3,1
support-final-5eccea7f5a24da2f5b31b4ab,uq_only_support_aware,Co-Dy-W,2,10,4,1
support-final-5eccea7f5a24da2f5b31b4ab,uq_only_support_aware,Co-Dy-W,2,10,5,1
support-final-5eccea7f5a24da2f5b31b4ab,uq_only_support_aware,Co-Dy-W,2,10,6,1
support-final-5eccea7f5a24da2f5b31b4ab,uq_only_support_aware,Co-Dy-W,2,10,7,1
support-final-5eccea7f5a24da2f5b31b4ab,uq_only_support_aware,Co-Dy-W,2,10,8,1
support-final-5eccea7f5a24da2f5b31b4ab,uq_only_support_aware,Co-Dy-W,2,10,9,1
support-final-5eccea7f5a24da2f5b31b4ab,uq_only_support_aware,Co-Dy-W,2,10,10,2
support-final-97076161f2eb1dff20b02ffe,uq_only_support_aware,Co-Dy-W,3,10,0,0
support-final-97076161f2eb1dff20b02ffe,uq_only_support_aware,Co-Dy-W,3,10,1,0
support-final-97076161f2eb1dff20b02ffe,uq_only_support_aware,Co-Dy-W,3,10,2,0
support-final-97076161f2eb1dff20b02ffe,uq_only_support_aware,Co-Dy-W,3,10,3,0
support-final-97076161f2eb1dff20b02ffe,uq_only_support_aware,Co-Dy-W,3,10,4,0
support-final-97076161f2eb1dff20b02ffe,uq_only_support_aware,Co-Dy-W,3,10,5,0
support-final-97076161f2eb1dff20b02ffe,uq_only_support_aware,Co-Dy-W,3,10,6,0
support-final-97076161f2eb1dff20b02ffe,uq_only_support_aware,Co-Dy-W,3,10,7,0
support-final-97076161f2eb1dff20b02ffe,uq_only_support_aware,Co-Dy-W,3,10,8,0
support-final-97076161f2eb1dff20b02ffe,uq_only_support_aware,Co-Dy-W,3,10,9,0
support-final-97076161f2eb1dff20b02ffe,uq_only_support_aware,Co-Dy-W,3,10,10,0
support-final-fbf58f289d7058d1b56ff33f,uq_only_support_aware,Co-Mg-Na,2,10,0,0
support-final-fbf58f289d7058d1b56ff33f,uq_only_support_aware,Co-Mg-Na,2,10,1,0
support-final-fbf58f289d7058d1b56ff33f,uq_only_support_aware,Co-Mg-Na,2,10,2,0
support-final-fbf58f289d7058d1b56ff33f,uq_only_support_aware,Co-Mg-Na,2,10,3,0
