population,feature,family,finite_n,missing_rate,train_min,train_p25,train_p50,train_p75,train_max,target_min,target_p25,target_p50,target_p75,target_max,median_shift_in_training_IQR,outside_training_range_n,outside_training_range_rate_among_finite,constant_training_feature
full_all_candidates,graph.layer_26_feature_fraction,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5714285714285714,,27,0.11297071129707113,False
full_all_candidates,graph.layer_27_activation_mean,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_27_feature_count,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_27_feature_fraction,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_28_activation_mean,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_28_feature_count,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_28_feature_fraction,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_29_activation_mean,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,6.874417781829834,0.0,0.0,0.0,0.0,7.191644191741943,,12,0.0502092050209205,False
full_all_candidates,graph.layer_29_feature_count,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,,8,0.03347280334728033,False
full_all_candidates,graph.layer_29_feature_fraction,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.3333333333333333,,5,0.02092050209205021,False
full_all_candidates,graph.layer_2_activation_mean,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_2_feature_count,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_2_feature_fraction,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
full_all_candidates,graph.layer_30_activation_mean,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,8.666794776916504,0.0,0.0,0.0,0.0,7.797494093577067,,0,0.0,False
full_all_candidates,graph.layer_30_feature_count,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,,6,0.02510460251046025,False
full_all_candidates,graph.layer_30_feature_fraction,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3,,0,0.0,False
full_all_candidates,graph.layer_31_activation_mean,graph,239,0.036290322580645164,6.692624409993489,7.281009614467621,7.505127906799316,7.710054779052735,8.400646209716797,6.456315994262695,7.261887311935425,7.57436736424764,7.937820816040039,9.941026329994202,0.16138034678768082,33,0.13807531380753138,False
full_all_candidates,graph.layer_31_feature_count,graph,239,0.036290322580645164,1.0,3.0,4.0,4.0,7.0,1.0,3.0,4.0,5.0,8.0,0.0,2,0.008368200836820083,False
full_all_candidates,graph.layer_31_feature_fraction,graph,239,0.036290322580645164,0.5,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,,18,0.07531380753138076,False
full_all_candidates,graph.layer_3_activation_mean,graph,239,0.036290322580645164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0.0,True
